"date","geo_value","cases","deaths"
2020-10-17,"ar",6202,132
2020-10-17,"az",5481,65
2020-10-17,"ca",21876,413
2020-10-17,"co",8937,65
2020-10-17,"ct",2792,12
2020-10-17,"de",944,15
2020-10-17,"fl",23560,731
2020-10-17,"ga",9115,214
2020-10-17,"hi",578,18
2020-10-17,"ia",7656,69
2020-10-17,"id",4881,22
2020-10-17,"il",23935,231
2020-10-17,"in",12566,194
2020-10-17,"ks",5213,86
2020-10-17,"ky",7352,63
2020-10-17,"la",4320,92
2020-10-17,"ma",4590,58
2020-10-17,"md",4332,41
2020-10-17,"me",217,3
2020-10-17,"mi",11456,121
2020-10-17,"mn",10262,86
2020-10-17,"mo",12053,159
2020-10-17,"ms",5368,75
2020-10-17,"mt",4108,30
2020-10-17,"nc",13973,164
2020-10-17,"nd",4678,63
2020-10-17,"ne",5445,28
2020-10-17,"nh",533,11
2020-10-17,"nj",7104,33
2020-10-17,"nm",3621,22
2020-10-17,"nv",4253,48
2020-10-17,"ny",9810,80
2020-10-17,"oh",12767,171
2020-10-17,"ok",7847,67
2020-10-17,"or",2391,20
2020-10-17,"pa",9992,121
2020-10-17,"ri",1397,26
2020-10-17,"sc",6593,86
2020-10-17,"sd",4533,28
2020-10-17,"tn",13763,145
2020-10-17,"tx",27775,493
2020-10-17,"ut",8653,30
2020-10-17,"va",7333,68
2020-10-17,"vt",69,0
2020-10-17,"wa",4566,43
2020-10-17,"wi",18626,193
2020-10-17,"wv",1878,14
2020-10-17,"wy",1361,3
2020-10-24,"ak",1595,1
2020-10-24,"al",11694,78
2020-10-24,"ar",6896,113
2020-10-24,"az",6313,45
2020-10-24,"ca",31733,368
2020-10-24,"co",11878,175
2020-10-24,"ct",3222,35
2020-10-24,"de",905,23
2020-10-24,"fl",23770,500
2020-10-24,"ga",10221,201
2020-10-24,"hi",615,26
2020-10-24,"ia",8138,106
2020-10-24,"id",6112,43
2020-10-24,"il",31515,299
2020-10-24,"in",14477,209
2020-10-24,"ks",5782,116
2020-10-24,"ky",8683,92
2020-10-24,"la",4877,93
2020-10-24,"ma",6558,52
2020-10-24,"md",4360,55
2020-10-24,"me",224,0
2020-10-24,"mi",13841,182
2020-10-24,"mn",11032,111
2020-10-24,"mo",13466,232
2020-10-24,"ms",5082,84
2020-10-24,"mt",4917,55
2020-10-24,"nc",14567,215
2020-10-24,"nd",5975,49
2020-10-24,"ne",5883,48
2020-10-24,"nh",613,7
2020-10-24,"nj",10451,77
2020-10-24,"nm",4697,36
2020-10-24,"nv",5160,36
2020-10-24,"ny",11525,87
2020-10-24,"oh",15581,220
2020-10-24,"ok",9217,83
2020-10-24,"or",2424,34
2020-10-24,"pa",11970,190
2020-10-24,"ri",2427,17
2020-10-24,"sc",6127,156
2020-10-24,"sd",5277,51
2020-10-24,"tn",17839,197
2020-10-24,"tx",38167,482
2020-10-24,"ut",9820,28
2020-10-24,"va",7134,156
2020-10-24,"vt",117,0
2020-10-24,"wa",4964,66
2020-10-24,"wi",38953,278
2020-10-24,"wv",1911,23
2020-10-24,"wy",1989,11
2020-10-31,"ak",2738,14
2020-10-31,"al",9782,101
2020-10-31,"ar",6872,128
2020-10-31,"az",9174,110
2020-10-31,"ca",29834,355
2020-10-31,"co",18183,212
2020-10-31,"ct",5155,39
2020-10-31,"de",1104,26
2020-10-31,"fl",26296,344
2020-10-31,"ga",11185,171
2020-10-31,"hi",526,7
2020-10-31,"ia",13674,82
2020-10-31,"id",5914,57
2020-10-31,"il",41646,289
2020-10-31,"in",18904,270
2020-10-31,"ks",8551,54
2020-10-31,"ky",11739,81
2020-10-31,"la",4046,99
2020-10-31,"ma",9088,71
2020-10-31,"md",5794,56
2020-10-31,"me",526,1
2020-10-31,"mi",21320,177
2020-10-31,"mn",16350,130
2020-10-31,"mo",17420,228
2020-10-31,"ms",5072,79
2020-10-31,"mt",5659,81
2020-10-31,"nc",16343,234
2020-10-31,"nd",7446,76
2020-10-31,"ne",7517,57
2020-10-31,"nh",846,10
2020-10-31,"nj",13261,69
2020-10-31,"nm",5450,53
2020-10-31,"nv",5949,34
2020-10-31,"ny",14029,96
2020-10-31,"oh",19891,270
2020-10-31,"ok",7077,92
2020-10-31,"or",3182,36
2020-10-31,"pa",15603,161
2020-10-31,"ri",2756,25
2020-10-31,"sc",7271,142
2020-10-31,"sd",7626,55
2020-10-31,"tn",14548,253
2020-10-31,"tx",47677,573
2020-10-31,"ut",11539,36
